,,,,,,,
,max_att ,max_itr ,rand    ,fitness ,best_at ,iters   ,time
,25,25,None    ,5806.0,24.0,25,0.14643
,25,25,1,5394.0,24.0,25,0.15345
,25,250,None    ,312.0,248.0,250,1.27277
,25,250,1,232.0,244.0,250,1.28416
,25,2500,None    ,25.0,1599.0,1659,6.17654
,25,2500,1,25.0,1371.0,1502,5.71804
,25,inf     ,None    ,32.0,1025.0,1089,4.30275
,25,inf     ,1,25.0,1371.0,1502,5.73791
,250,25,None    ,5394.0,24.0,25,0.14235
,250,25,1,5394.0,24.0,25,0.14548
,250,250,None    ,312.0,248.0,250,1.27306
,250,250,1,232.0,244.0,250,1.27649
,250,2500,None    ,19.0,2497.0,2500,8.81331
,250,2500,1,17.0,2253.0,2500,8.85301
,250,inf     ,None    ,7.0,9579.0,10666,33.88025
,250,inf     ,1,4.0,13354.0,13750,43.54657
,2500,25,None    ,5694.0,24.0,25,0.14072
,2500,25,1,5394.0,24.0,25,0.14865
,2500,250,None    ,312.0,248.0,250,1.27461
,2500,250,1,232.0,244.0,250,1.25281
,2500,2500,None    ,19.0,2497.0,2500,8.85149
,2500,2500,1,17.0,2253.0,2500,9.02159
,2500,inf     ,None    ,1.0,62781.0,97989,295.07143
,2500,inf     ,1,1.0,30912.0,57554,170.42742